#,entity_code,entity_name,license_number,bill_date,etin,brand_name,package_size,package_type,Plan Id,sold_qty
99,24080025,M/s Sri Ganapathi Wines Bhavanipuram,RETAIL24080025,2025-08-01,SIRIS0110732140401800N26001545FLKAN1105060024,Siri 's Sentini Special,180,Glass Bottle,BOTTELING_PLAN_1023954,133
100,24080025,M/s Sri Ganapathi Wines Bhavanipuram,RETAIL24080025,2025-08-02,SIRIS0110732140401800N26001545FLKAN1105060024,Siri 's Sentini Special,180,Glass Bottle,BOTTELING_PLAN_1023757,119
101,24080025,M/s Sri Ganapathi Wines Bhavanipuram,RETAIL24080025,2025-08-02,SIRIS0110D76140400900N26001545FLKAN1106050033,Siri 's Classic Blue Finest Whisky,90,Pet Bottle,BOTTELING_PLAN_1024205,16
102,24080025,M/s Sri Ganapathi Wines Bhavanipuram,RETAIL24080025,2025-08-03,SIRIS0110D76140400900N26001545FLKAN1106050033,Siri 's Classic Blue Finest Whisky,90,Pet Bottle,BOTTELING_PLAN_1024205,177
103,24080025,M/s Sri Ganapathi Wines Bhavanipuram,RETAIL24080025,2025-08-04,SIRIS0110D76140400900N26001545FLKAN1106050033,Siri 's Classic Blue Finest Whisky,90,Pet Bottle,BOTTELING_PLAN_1024205,135
104,24080025,M/s Sri Ganapathi Wines Bhavanipuram,RETAIL24080025,2025-08-04,SIRIS0110D76140400900N26001545FLKAN1106050033,Siri 's Classic Blue Finest Whisky,90,Pet Bottle,BOTTELING_PLAN_1024643,45
105,24080025,M/s Sri Ganapathi Wines Bhavanipuram,RETAIL24080025,2025-08-05,SIRIS0110D76140400900N26001545FLKAN1106050033,Siri 's Classic Blue Finest Whisky,90,Pet Bottle,BOTTELING_PLAN_1024205,134
106,24080025,M/s Sri Ganapathi Wines Bhavanipuram,RETAIL24080025,2025-08-06,SIRIS0110D76140400900N26001545FLKAN1106050033,Siri 's Classic Blue Finest Whisky,90,Pet Bottle,BOTTELING_PLAN_1024205,135
107,24080025,M/s Sri Ganapathi Wines Bhavanipuram,RETAIL24080025,2025-08-07,SIRIS0110D76140400900N26001545FLKAN1106050033,Siri 's Classic Blue Finest Whisky,90,Pet Bottle,BOTTELING_PLAN_1024205,135
108,24080025,M/s Sri Ganapathi Wines Bhavanipuram,RETAIL24080025,2025-08-08,SIRIS0110D76140400900N26001545FLKAN1106050033,Siri 's Classic Blue Finest Whisky,90,Pet Bottle,BOTTELING_PLAN_1024205,101
109,24080025,M/s Sri Ganapathi Wines Bhavanipuram,RETAIL24080025,2025-08-08,SIRIS0110D76140400900N26001545FLKAN1106050033,Siri 's Classic Blue Finest Whisky,90,Pet Bottle,BOTTELING_PLAN_1024643,117
110,24080025,M/s Sri Ganapathi Wines Bhavanipuram,RETAIL24080025,2025-08-09,SIRIS0110D76140400900N26001545FLKAN1106050033,Siri 's Classic Blue Finest Whisky,90,Pet Bottle,BOTTELING_PLAN_1024205,177
111,24080025,M/s Sri Ganapathi Wines Bhavanipuram,RETAIL24080025,2025-08-09,SIRIS0110D76140400900N26001545FLKAN1106050033,Siri 's Classic Blue Finest Whisky,90,Pet Bottle,BOTTELING_PLAN_1024643,45
